iter	Passed	Remaining
0	0	53
1	1	50
2	1	49
3	1	45
4	2	44
5	2	44
6	3	43
7	3	43
8	4	42
9	4	42
10	5	41
11	5	40
12	6	40
13	6	40
14	6	39
15	7	39
16	7	38
17	8	38
18	8	38
19	9	37
20	9	37
21	10	36
22	10	36
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	32
30	14	32
31	15	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	25	20
56	26	19
57	26	19
58	27	18
59	27	18
60	28	17
61	28	17
62	28	16
63	29	16
64	29	16
65	30	15
66	30	15
67	31	14
68	31	14
69	32	13
70	32	13
71	33	12
72	33	12
73	34	11
74	34	11
75	35	11
76	35	10
77	35	10
78	36	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	39	6
85	39	6
86	40	6
87	40	5
88	41	5
89	41	4
90	42	4
91	42	3
92	43	3
93	43	2
94	44	2
95	44	1
96	45	1
97	45	0
98	46	0
99	46	0
